Running data/iris.data.new.txt Experiment with positive class = Iris-virginica
Average Error Rate: 0.06666666666666668
Standard Deviation: 0.04714045207910317
Learned Linear Regression Model (Thetas) 
[ 0.9009632166481509,
  -0.931604820022089,
  -0.9594025815370125,
  -0.27337086225854546,
  -0.8777356097719518,
  1.2693010900378596,
  -0.049862538873426676,
  -0.6380626908069272,
  -0.5976485251424943,
  -0.7706093201658142,
  -0.7959721187159703,
  0.04066344912737347,
  -0.7856744986387072,
  -1.9177375610280312,
  -0.8577532531507337,
  -0.6393490612506082,
  1.7316581644353417,
  1.5657106354954773,
  0.4700079361276672,
  -0.3017051635447159,
  -0.03821234526164719,
  -1.2910803265848927,
  0.06881894081297292,
  1.6804948694371034]

Last Cross Validation Set Predicted Values: 
(Predicted Value, Actual Value)
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
